Week,Name,Details Link,Address,Date,Type
2,TREAT AND PAINT PARTY @PHIRI ART ( AGES 5 & UP! ),https://www.eventbrite.com/e/treat-and-paint-party-phiri-art-ages-5-up-tickets-160161813295?aff=ebdssbdestsearch,"120 E Market St • Indianapolis, IN","Sun, Oct 31, 11:00 AM",Arts
2,Halloween SIP AND PAINT PARTY @Phiri Art GALLERY (OCTOBER 31st 4pm - 7PM ),https://www.eventbrite.com/e/halloween-sip-and-paint-party-phiri-art-gallery-october-31st-4pm-7pm-tickets-188601631557?aff=ebdssbdestsearch,"Phiri Art • Indianapolis, IN","Sun, Oct 31, 4:00 PM",Arts
2,Halloween DAY PARTY @Phiri Art GALLERY ( OCTOBER 31st 4pm - 9pm ),https://www.eventbrite.com/e/halloween-day-party-phiri-art-gallery-october-31st-4pm-9pm-tickets-188454752237?aff=ebdssbdestsearch,"Phiri Art • Indianapolis, IN","Sun, Oct 31, 4:00 PM",Arts
2,Irvington Halloween Festival's Official After Party,https://www.eventbrite.com/e/irvington-halloween-festivals-official-after-party-tickets-170369024338?aff=ebdssbdestsearch,"Ice House Coffee Roasters • Indianapolis, IN","Sat, Oct 30, 6:00 PM",Arts
2,"James Whitcomb Riley Museum Home Tours, Oct. 8th - Feb. 5th",https://www.eventbrite.com/e/james-whitcomb-riley-museum-home-tours-oct-8th-feb-5th-tickets-174453554277?aff=ebdssbdestsearch,"528 Lockerbie St • Indianapolis, IN","Sat, Oct 30, 10:00 AM + 3 more events",Arts
2,NETWORK POP UP & ART SHOW ( Shades Of Pink ) Breast Cancer Awareness month,https://www.eventbrite.com/e/network-pop-up-art-show-shades-of-pink-breast-cancer-awareness-month-tickets-180050274217?aff=ebdssbdestsearch,"Phiri Art • Indianapolis, IN","Fri, Oct 29, 4:00 PM",Arts
2,The Boozy Cauldron Pop-Up Tavern - Indianapolis,https://www.eventbrite.com/e/the-boozy-cauldron-pop-up-tavern-indianapolis-tickets-178777236527?aff=ebdssbdestsearch,"The Sanctuary • Indianapolis, IN","Sat, Oct 30, 5:00 PM + 2 more events",Arts
2,Love's Labor's Lost,https://www.eventbrite.com/e/loves-labors-lost-tickets-169860580569?aff=ebdssbdestsearch,"The Cat • Carmel, IN","Sat, Oct 30, 2:00 PM + 1 more event",Arts
2,Faith Family & Fun Rodeo,https://www.eventbrite.com/e/faith-family-fun-rodeo-tickets-164742163245?aff=ebdssbdestsearch,"Him By Her Collegiate School for the Arts • Indianapolis, IN","Sat, Oct 30, 3:00 PM",Arts
2,Gospel Sundays featuring FO'SHO and Friends Comedy Show (2pm - 3:30 pm),https://www.eventbrite.com/e/gospel-sundays-featuring-fosho-and-friends-comedy-show-2pm-330-pm-tickets-175662811197?aff=ebdssbdestsearch,"THE MAD GRIDDLE • Indianapolis, IN","Sun, Oct 31, 12:00 PM",Arts
2,Pumpkins are such Hot Fun to make! Make one with GAI@CCIC,https://www.eventbrite.com/e/pumpkins-are-such-hot-fun-to-make-make-one-with-gaiccic-tickets-177427619787?aff=ebdssbdestsearch,"Glass Arts Indiana • Indianapolis, IN","Sat, Oct 30, 2:30 PM",Arts
2,"Pumpkins, Pumpkins, Pumpkins, Fun to make! Make one with GAI@CCIC",https://www.eventbrite.com/e/pumpkins-pumpkins-pumpkins-fun-to-make-make-one-with-gaiccic-tickets-177422173497?aff=ebdssbdestsearch,"Glass Arts Indiana • Indianapolis, IN","Sat, Oct 30, 12:00 PM",Arts
2,"The Good Time Ghouls Presents, Ghouls Just Wanna Have Fun!",https://www.eventbrite.com/e/the-good-time-ghouls-presents-ghouls-just-wanna-have-fun-tickets-185112274797?aff=ebdssbdestsearch,"5632 Bonna Ave • Indianapolis, IN","Sat, Oct 30, 5:00 PM",Arts
2,Halloween BODY PAINT PARTY ( YOUR BODY ) AFRO-BEATS @PHIRIART,https://www.eventbrite.com/e/halloween-body-paint-party-your-body-afro-beats-phiriart-tickets-188446236767?aff=ebdssbdestsearch,"Phiri Art • Indianapolis, IN","Sat, Oct 30, 10:00 PM",Arts
2,Pumpkins are even riper and Hotter Fun to make! Make one with GAI@CCIC,https://www.eventbrite.com/e/pumpkins-are-even-riper-and-hotter-fun-to-make-make-one-with-gaiccic-tickets-172992243457?aff=ebdssbdestsearch,"Glass Arts Indiana • Indianapolis, IN","Sun, Oct 31, 12:00 PM",Arts
2,Indianapolis City Market Catacomb Tours 2021,https://www.eventbrite.com/e/indianapolis-city-market-catacomb-tours-2021-tickets-142132910361?aff=ebdssbdestsearch,"Indianapolis City Market • Indianapolis, IN","Sat, Oct 30, 10:00 AM + 17 more events",Arts
2,Healer Halloween Hysteria,https://www.eventbrite.com/e/healer-halloween-hysteria-tickets-184341298787?aff=ebdssbdestsearch,"Healer • Indianapolis, IN","Sat, Oct 30, 7:00 PM",Arts
2,Faith Family Fun Rodeo Vendor/Food-Truck Registration,https://www.eventbrite.com/e/faith-family-fun-rodeo-vendorfood-truck-registration-tickets-164753960531?aff=ebdssbdestsearch,"Him By Her Collegiate School for the Arts • Indianapolis, IN","Sat, Oct 30, 11:00 AM",Arts
2,"Paranormal Circus - Indianapolis, IN - Saturday Oct 30 at 9:30pm",https://www.eventbrite.com/e/paranormal-circus-indianapolis-in-saturday-oct-30-at-930pm-tickets-187058917257?aff=ebdssbdestsearch,"Castleton Square Mall • Indianapolis, IN","Sat, Oct 30, 9:30 PM",Arts
2,TREAT AND PAINT PARTY @PHIRI ART ( AGES 5 & UP! ),https://www.eventbrite.com/e/treat-and-paint-party-phiri-art-ages-5-up-tickets-160161813295?aff=ebdssbdestsearch,"120 E Market St • Indianapolis, IN","Sun, Oct 31, 11:00 AM",Arts
2,Halloween SIP AND PAINT PARTY @Phiri Art GALLERY (OCTOBER 31st 4pm - 7PM ),https://www.eventbrite.com/e/halloween-sip-and-paint-party-phiri-art-gallery-october-31st-4pm-7pm-tickets-188601631557?aff=ebdssbdestsearch,"Phiri Art • Indianapolis, IN","Sun, Oct 31, 4:00 PM",Arts
2,Halloween DAY PARTY @Phiri Art GALLERY ( OCTOBER 31st 4pm - 9pm ),https://www.eventbrite.com/e/halloween-day-party-phiri-art-gallery-october-31st-4pm-9pm-tickets-188454752237?aff=ebdssbdestsearch,"Phiri Art • Indianapolis, IN","Sun, Oct 31, 4:00 PM",Arts
2,Irvington Halloween Festival's Official After Party,https://www.eventbrite.com/e/irvington-halloween-festivals-official-after-party-tickets-170369024338?aff=ebdssbdestsearch,"Ice House Coffee Roasters • Indianapolis, IN","Sat, Oct 30, 6:00 PM",Arts
2,"James Whitcomb Riley Museum Home Tours, Oct. 8th - Feb. 5th",https://www.eventbrite.com/e/james-whitcomb-riley-museum-home-tours-oct-8th-feb-5th-tickets-174453554277?aff=ebdssbdestsearch,"528 Lockerbie St • Indianapolis, IN","Sat, Oct 30, 10:00 AM + 3 more events",Arts
2,NETWORK POP UP & ART SHOW ( Shades Of Pink ) Breast Cancer Awareness month,https://www.eventbrite.com/e/network-pop-up-art-show-shades-of-pink-breast-cancer-awareness-month-tickets-180050274217?aff=ebdssbdestsearch,"Phiri Art • Indianapolis, IN","Fri, Oct 29, 4:00 PM",Arts
2,The Boozy Cauldron Pop-Up Tavern - Indianapolis,https://www.eventbrite.com/e/the-boozy-cauldron-pop-up-tavern-indianapolis-tickets-178777236527?aff=ebdssbdestsearch,"The Sanctuary • Indianapolis, IN","Sat, Oct 30, 5:00 PM + 2 more events",Arts
2,Love's Labor's Lost,https://www.eventbrite.com/e/loves-labors-lost-tickets-169860580569?aff=ebdssbdestsearch,"The Cat • Carmel, IN","Sat, Oct 30, 2:00 PM + 1 more event",Arts
2,Faith Family & Fun Rodeo,https://www.eventbrite.com/e/faith-family-fun-rodeo-tickets-164742163245?aff=ebdssbdestsearch,"Him By Her Collegiate School for the Arts • Indianapolis, IN","Sat, Oct 30, 3:00 PM",Arts
2,Gospel Sundays featuring FO'SHO and Friends Comedy Show (2pm - 3:30 pm),https://www.eventbrite.com/e/gospel-sundays-featuring-fosho-and-friends-comedy-show-2pm-330-pm-tickets-175662811197?aff=ebdssbdestsearch,"THE MAD GRIDDLE • Indianapolis, IN","Sun, Oct 31, 12:00 PM",Arts
2,Pumpkins are such Hot Fun to make! Make one with GAI@CCIC,https://www.eventbrite.com/e/pumpkins-are-such-hot-fun-to-make-make-one-with-gaiccic-tickets-177427619787?aff=ebdssbdestsearch,"Glass Arts Indiana • Indianapolis, IN","Sat, Oct 30, 2:30 PM",Arts
2,"Pumpkins, Pumpkins, Pumpkins, Fun to make! Make one with GAI@CCIC",https://www.eventbrite.com/e/pumpkins-pumpkins-pumpkins-fun-to-make-make-one-with-gaiccic-tickets-177422173497?aff=ebdssbdestsearch,"Glass Arts Indiana • Indianapolis, IN","Sat, Oct 30, 12:00 PM",Arts
2,"The Good Time Ghouls Presents, Ghouls Just Wanna Have Fun!",https://www.eventbrite.com/e/the-good-time-ghouls-presents-ghouls-just-wanna-have-fun-tickets-185112274797?aff=ebdssbdestsearch,"5632 Bonna Ave • Indianapolis, IN","Sat, Oct 30, 5:00 PM",Arts
2,Halloween BODY PAINT PARTY ( YOUR BODY ) AFRO-BEATS @PHIRIART,https://www.eventbrite.com/e/halloween-body-paint-party-your-body-afro-beats-phiriart-tickets-188446236767?aff=ebdssbdestsearch,"Phiri Art • Indianapolis, IN","Sat, Oct 30, 10:00 PM",Arts
2,Pumpkins are even riper and Hotter Fun to make! Make one with GAI@CCIC,https://www.eventbrite.com/e/pumpkins-are-even-riper-and-hotter-fun-to-make-make-one-with-gaiccic-tickets-172992243457?aff=ebdssbdestsearch,"Glass Arts Indiana • Indianapolis, IN","Sun, Oct 31, 12:00 PM",Arts
2,Indianapolis City Market Catacomb Tours 2021,https://www.eventbrite.com/e/indianapolis-city-market-catacomb-tours-2021-tickets-142132910361?aff=ebdssbdestsearch,"Indianapolis City Market • Indianapolis, IN","Sat, Oct 30, 10:00 AM + 17 more events",Arts
2,Healer Halloween Hysteria,https://www.eventbrite.com/e/healer-halloween-hysteria-tickets-184341298787?aff=ebdssbdestsearch,"Healer • Indianapolis, IN","Sat, Oct 30, 7:00 PM",Arts
2,Faith Family Fun Rodeo Vendor/Food-Truck Registration,https://www.eventbrite.com/e/faith-family-fun-rodeo-vendorfood-truck-registration-tickets-164753960531?aff=ebdssbdestsearch,"Him By Her Collegiate School for the Arts • Indianapolis, IN","Sat, Oct 30, 11:00 AM",Arts
2,"Paranormal Circus - Indianapolis, IN - Saturday Oct 30 at 9:30pm",https://www.eventbrite.com/e/paranormal-circus-indianapolis-in-saturday-oct-30-at-930pm-tickets-187058917257?aff=ebdssbdestsearch,"Castleton Square Mall • Indianapolis, IN","Sat, Oct 30, 9:30 PM",Arts
2,ITSNOTACON!,https://www.eventbrite.com/e/itsnotacon-tickets-169339122875?aff=ebdssbdestsearch,"Indianapolis Marriott East • Indianapolis, IN","Fri, Oct 29, 12:00 PM",Gaming
2,TAG TEAM Poker Tournament! $200 CASH PRIZE!,https://www.eventbrite.com/e/tag-team-poker-tournament-200-cash-prize-tickets-191317685347?aff=ebdssbdestsearch,"Eddy's Sports Pub • Indianapolis, IN","Sun, Oct 31, 5:30 PM",Gaming
2,In the Lab with Rob Morrison,https://www.eventbrite.com/e/in-the-lab-with-rob-morrison-tickets-175997562447?aff=ebdssbdestsearch,"GoodLife • Indianapolis, IN","Sat, Oct 30, 12:00 PM",Gaming
2,"Indianapolis Virtual Game Night: Trivia, Charades, and Drawing over Video",https://www.eventbrite.com/e/indianapolis-virtual-game-night-trivia-charades-and-drawing-over-video-tickets-107485000530?aff=ebdssbdestsearch,"40 E St Clair St • Indianapolis, IN","Sat, Oct 30, 7:00 PM + 1 more event",Gaming
2,AfroBeat Sundays Day Party | Halloween Edition,https://www.eventbrite.com/e/afrobeat-sundays-day-party-halloween-edition-tickets-176691307457?aff=ebdssbdestsearch,"The Red Room • Indianapolis, IN","Sun, Oct 31, 3:00 PM",Gaming
2,Irvington Halloween Festival's Official After Party,https://www.eventbrite.com/e/irvington-halloween-festivals-official-after-party-tickets-170369024338?aff=ebdssbdestsearch,"Ice House Coffee Roasters • Indianapolis, IN","Sat, Oct 30, 6:00 PM",Gaming
2,GOTHAM HALLOWEEN with DJ DRAMA,https://www.eventbrite.com/e/gotham-halloween-with-dj-drama-tickets-188323369267?aff=ebdssbdestsearch,"The Silver Centre Event Hall • Indianapolis, IN","Sat, Oct 30, 9:00 PM",Gaming
2,You Sleuth Augmented Reality Detective Experience,https://www.eventbrite.com/e/you-sleuth-augmented-reality-detective-experience-tickets-129451618275?aff=ebdssbdestsearch,"Indianapolis • Indianapolis, IN","Sat, Oct 30, 10:00 AM + 1 more event",Gaming
2,Amazing Scavenger Hunt Adventure - Indianapolis,https://www.eventbrite.com/e/amazing-scavenger-hunt-adventure-indianapolis-tickets-39888649023?aff=ebdssbdestsearch,"40 E St Clair St • Indianapolis, IN","Sat, Oct 30, 8:00 AM + 1 more event",Gaming
