Week,Name,Link Details,Address,Date,Type
6,"Indianapolis Virtual Game Night: Trivia, Charades, and Drawing over Video",https://www.eventbrite.com/e/indianapolis-virtual-game-night-trivia-charades-and-drawing-over-video-tickets-107485000530?aff=ebdssbdestsearch,"40 E St Clair St • Indianapolis, IN","Sat, Nov 27, 7:00 PM + 1 more event",Gaming
6,Amazing Scavenger Hunt Adventure - Indianapolis,https://www.eventbrite.com/e/amazing-scavenger-hunt-adventure-indianapolis-tickets-39888649023?aff=ebdssbdestsearch,"40 E St Clair St • Indianapolis, IN","Sat, Nov 27, 8:00 AM + 1 more event",Gaming
6,Develop a Successful Artificial Intelligence Startup Business,https://www.eventbrite.com/e/develop-a-successful-artificial-intelligence-startup-business-tickets-100519705144?aff=ebdssbdestsearch,"Indianapolis • Indianapolis, IN","Sun, Nov 28, 1:00 PM",Gaming
6,Beginner Pickleball November 2021,https://www.eventbrite.com/e/beginner-pickleball-november-2021-tickets-169655372787?aff=ebdssbdestsearch,"Monon Community Center • Carmel, IN","Thu, Nov 4, 4:00 PM",Gaming
6,Candlelight Theatre | 2021 Season Tickets,https://www.eventbrite.com/e/candlelight-theatre-2021-season-tickets-tickets-136818031415?aff=ebdssbdestsearch,"Benjamin Harrison Presidential Site • Indianapolis, IN","Thu, Jan 14, 7:00 PM",Gaming
6,FGW Wrestling + Team Frank present Fight for Life sponsored by Cincy Shirts,https://www.eventbrite.com/e/fgw-wrestling-team-frank-present-fight-for-life-sponsored-by-cincy-shirts-tickets-186021544447?aff=ebdssbdestsearch,"190 N Brookwood Ave • Hamilton, OH","Sat, Nov 27, 7:00 PM",Gaming
6,Battle of the Bulldogs Women's Basketball Game Classic,https://www.eventbrite.com/e/battle-of-the-bulldogs-womens-basketball-game-classic-tickets-166522391957?aff=ebdssbdestsearch,"Winton Woods North Campus (7-12) • Cincinnati, OH","Sun, Nov 28, 11:45 AM",Gaming
6,Houndmouth,https://www.eventbrite.com/e/houndmouth-tickets-160193849115?aff=ebdssbdestsearch,"The Vogue Theatre • Indianapolis, IN","Sat, Nov 27, 9:00 PM",Music
6,SPELLBOUND Darkwave DJ Dance Night - November 2021 Edition,https://www.eventbrite.com/e/spellbound-darkwave-dj-dance-night-november-2021-edition-tickets-160328150815?aff=ebdssbdestsearch,"White Rabbit Cabaret • Indianapolis, IN","Sat, Nov 27, 9:30 PM",Music
6,SNKR CULTURE,https://www.eventbrite.com/e/snkr-culture-tickets-189907216597?aff=ebdssbdestsearch,"GRAND PARK • Westfield, IN","Sat, Nov 27, 1:00 PM",Music
6,Stuck There Saturday's,https://www.eventbrite.com/e/stuck-there-saturdays-tickets-142697382713?aff=ebdssbdestsearch,"Limelight Nightclub • Indianapolis, IN","Sat, Nov 27, 9:00 PM",Music
6,Graciously Departed at The Mousetrap,https://www.eventbrite.com/e/graciously-departed-at-the-mousetrap-tickets-167891629383?aff=ebdssbdestsearch,"The Mousetrap • Indianapolis, IN","Sat, Nov 27, 9:00 PM",Music
6,Parent Ukulele Group @ The Main Squeeze,https://www.eventbrite.com/e/parent-ukulele-group-the-main-squeeze-tickets-169405579649?aff=ebdssbdestsearch,"33 E Main St • Carmel, IN","Fri, Oct 29, 6:00 PM",Music
6,Cathedral Bells at Healer,https://www.eventbrite.com/e/cathedral-bells-at-healer-tickets-165009717507?aff=ebdssbdestsearch,"Healer • Indianapolis, IN","Sat, Nov 27, 7:00 PM",Music
6,"Indianapolis Virtual Game Night: Trivia, Charades, and Drawing over Video",https://www.eventbrite.com/e/indianapolis-virtual-game-night-trivia-charades-and-drawing-over-video-tickets-107485000530?aff=ebdssbdestsearch,"40 E St Clair St • Indianapolis, IN","Sat, Nov 27, 7:00 PM + 1 more event",Music
6,Sullivan King - Loud & Reckless Tour at Egyptian Room,https://www.eventbrite.com/e/sullivan-king-loud-reckless-tour-at-egyptian-room-tickets-175712941137?aff=ebdssbdestsearch,"Egyptian Room at Old National Centre • Indianapolis, IN","Sat, Nov 27, 8:00 PM",Music
6,Birthdays & Brunch,https://www.eventbrite.com/e/birthdays-brunch-tickets-141764317891?aff=ebdssbdestsearch,"Limelight Nightclub • Indianapolis, IN","Sat, Nov 27, 11:00 AM",Music
6,Anthony Gomes,https://www.eventbrite.com/e/anthony-gomes-tickets-161819772295?aff=ebdssbdestsearch,"Key Palace Theatre • Redkey, IN","Sat, Nov 27, 8:00 PM",Music
6,Candlelight Theatre | 2021 Season Tickets,https://www.eventbrite.com/e/candlelight-theatre-2021-season-tickets-tickets-136818031415?aff=ebdssbdestsearch,"Benjamin Harrison Presidential Site • Indianapolis, IN","Thu, Jan 14, 7:00 PM",Music
6,Journey BOREALIS Holiday Light Show,https://www.eventbrite.com/e/journey-borealis-holiday-light-show-tickets-191144607667?aff=ebdssbdestsearch,"1763 Hamilton Cleves Rd • Hamilton, OH","Sat, Nov 27, 6:00 PM + 1 more event",Music
6,JEEZY AT AVENUE EVENT CENTER,https://www.eventbrite.com/e/jeezy-at-avenue-event-center-tickets-188919482257?aff=ebdssbdestsearch,"Avenue Event Center • Cincinnati, OH","Sat, Nov 27, 10:00 PM",Music
6,JEEZY AT AVENUE EVENT CENTER,https://www.eventbrite.com/e/jeezy-at-avenue-event-center-tickets-185328240757?aff=ebdssbdestsearch,"Avenue Event Center (Cincinnati Ohio) • Cincinnati, OH","Sat, Nov 27, 10:00 PM",Music
6,Battle of the Bulldogs Women's Basketball Game Classic,https://www.eventbrite.com/e/battle-of-the-bulldogs-womens-basketball-game-classic-tickets-166522391957?aff=ebdssbdestsearch,"Winton Woods North Campus (7-12) • Cincinnati, OH","Sun, Nov 28, 11:45 AM",Music
6,Bakersfield Mist by Stephen Sachs,https://www.downtownindy.org/events/11044/bakersfield-mist-by-stephen-sachs/,Phoenix Theatre,"Saturday, November 27, 2021",Arts
6,Identidad Dreams Marchas Exhibition,https://www.downtownindy.org/events/11119/identidad-dreams-marchas-exhibition/,Indianapolis Artsgarden,"Saturday, November 27, 2021",Arts
6,Indiana War Memorial and Museum,https://www.downtownindy.org/events/10496/indiana-war-memorial-and-museum/,Indiana War Memorial and Museum,"Saturday, November 27, 2021",Arts
6,"H.M. Saffer, II",https://www.downtownindy.org/events/6524/hm-saffer-ii/,Gallery Forty-Two,"Saturday, November 27, 2021",Arts
6,Black & Blue–On the Road with Jack White,https://www.downtownindy.org/events/11138/black-blueon-the-road-with-jack-white/,"Eskenazi Hall, 235 W. New York St., Indianapolis, IN 46202","Saturday, November 27, 2021",Arts
6,Tuguldur Yondonjamts–Separated Geography from a Poem,https://www.downtownindy.org/events/11139/tuguldur-yondonjamtsseparated-geography-from-a-poem/,"Eskenazi Hall, 235 W. New York St., Indianapolis, IN 46202","Saturday, November 27, 2026",Arts
6,Charles Dickens' A Christmas Carol,https://www.downtownindy.org/events/11127/charles-dickens-a-christmas-carol/,Indiana Repertory Theatre,"Saturday, November 27, 2027",Arts
6,ComedySportz,https://www.downtownindy.org/events/9673/comedysportz/,ComedySportz Indianapolis,"Saturday, November 27, 2021",Arts
6,Indianapolis Colts vs. Tampa Bay Buccaneers,https://www.downtownindy.org/events/10677/indianapolis-colts-vs-tampa-bay-buccaneers/,Lucas Oil Stadium,"Saturday, November 27, 2027",Sports
6,Pacers vs. Milwaukee Bucks,https://www.downtownindy.org/events/11160/pacers-vs-milwaukee-bucks/,Gainbridge Fieldhouse,"Saturday, November 28, 2021",Sports
